callsign,freq_mhz,city,state,class,erp_kw,lat,lon
WJJN-LD,509,Dothan,AL,LPD,15.0,31.24864,-85.38889
WJMY-CD,491,Tuscaloosa,AL,DCA,15.0,33.21417,-87.48997
WKRG-TV,509,Mobile,AL,DTV,961.0,30.689,-87.83072
WMBP-LD,575,Mobile,AL,LPD,15.0,30.68806,-87.79833
WMCF-TV,557,Montgomery,AL,DTV,725.0,32.40361,-86.19694
WMPV-TV,497,Mobile,AL,DTV,900.0,30.61139,-87.60733
WNAL-LD,551,Huntsville,AL,LPD,9.0,34.73689,-86.53303
WNCF,575,Montgomery,AL,DTV,720.0,32.14942,-86.7785
WNHT-LD,503,Birmingham,AL,LPD,9.77,33.48467,-86.807
WOIL-LD,527,Talladega,AL,LPD,8.0,33.41167,-86.2075
WOTM-LD,599,Birmingham,AL,LPD,4.8,33.39761,-86.66136
WPMI-TV,479,Mobile,AL,DTV,1000.0,30.61139,-87.60733
WPXH-TV,587,Hoover,AL,DTV,300.0,33.48389,-86.80583
WQAP-LD,527,Montgomery,AL,LPD,15.0,32.42139,-86.42972
WQMK-LD,563,Cusseta,AL,LPD,15.0,32.74444,-85.29222
WRGX-LD,527,Dothan,AL,LPD,15.0,30.92,-85.74167
WSES,605,Tuscaloosa,AL,DTV,800.0,33.48,-87.43056
WSFA,183,Montgomery,AL,DTV,32.1,31.97472,-86.16222
WSSF-LD,479,Fayette,AL,LPD,15.0,33.68175,-87.82333
WSWH-LD,521,Birmingham,AL,LPD,15.0,33.48467,-86.807
WTBM-CD,533,Birmingham,AL,DCA,15.0,33.48861,-86.79944
WTHV-LD,581,Huntsville,AL,LPD,15.0,34.71092,-86.53528
WTJP-TV,545,Gadsden,AL,DTV,1000.0,33.81472,-86.44861
WTMU-LD,563,Montgomery,AL,LPD,15.0,32.37439,-86.28556
WTTO,515,Homewood,AL,DTV,1000.0,33.48467,-86.807
WTVY,605,Dothan,AL,DTV,1000.0,30.92,-85.74167
WTZT-CD,201,Athens,AL,DCA,1.11,34.81833,-86.73778
WUDX-LD,557,Tuscaloosa,AL,LPD,15.0,33.42867,-88.20231
WUOA-LD,557,Birmingham,AL,LPD,10.0,33.48467,-86.807
