callsign,freq_mhz,city,state,class,erp_kw,lat,lon
KGEO,1.18,Wasco-Greenacres,CA,B,10.0,35.57133,-119.32483
KGSV,0.66,Oildale,CA,B,8.0,35.45272,-118.94536
KHJ,0.93,Los Angeles,CA,B,5.0,34.08556,-118.25758
KHOT,1.25,Madera,CA,D,0.5,36.96606,-120.036
KHPY,1.67,Moreno Valley,CA,B,10.0,34.01169,-117.18503
KHTK,1.14,Sacramento,CA,B,50.0,38.39269,-121.19856
KHTS,1.22,Canyon Country,CA,B,1.0,34.46528,-118.40286
KHTY,0.97,Bakersfield,CA,B,1.0,35.44994,-118.94761
KIFM,1.32,West Sacramento,CA,B,5.0,38.63631,-121.55356
KIGS,0.62,Hanford,CA,B,1.0,36.32633,-119.56736
KIHC,0.89,Arroyo Grande,CA,B,5.0,35.14553,-120.52183
KIHH,1.4,Eureka,CA,C,0.79,40.80264,-124.13894
KIID,1.47,Sacramento,CA,B,5.0,38.59158,-121.46383
KION,1.46,Salinas,CA,B,10.0,36.73303,-121.59328
KIQI,1.01,San Francisco,CA,B,10.0,37.82603,-122.31136
KIQS,1.56,Willows,CA,D,0.25,39.52878,-122.17025
KIRN,0.67,Simi Valley,CA,B,5.0,34.31944,-118.71647
KIRV,1.51,Fresno,CA,D,10.0,36.71161,-119.83403
KIXW,0.96,Apple Valley,CA,D,5.0,34.51667,-117.22728
KJAY,1.43,Sacramento,CA,D,0.5,38.50464,-121.56189
KJDJ,1.03,San Luis Obispo,CA,B,2.5,35.29942,-120.67433
KJOP,1.24,Lemoore,CA,C,0.25,36.313,-119.73097
KJPG,1.05,Frazier Park,CA,D,10.0,35.02442,-118.919
KJPR,1.33,Shasta Lake City,CA,B,1.0,40.67986,-122.26806
KKDD,1.29,San Bernardino,CA,B,5.0,34.12417,-117.23808
KKGX,0.92,Palm Springs,CA,B,5.0,33.85808,-116.495
KKJL,1.4,San Luis Obispo,CA,C,1.0,35.26414,-120.66656
KKMC,0.88,Gonzales,CA,B,10.0,36.56275,-121.43578
KKSF,0.91,Oakland,CA,B,20.0,37.89575,-122.32469
KKSM,1.32,Oceanside,CA,B,0.5,33.20225,-117.33892
KKXX,0.93,Paradise,CA,D,1.0,39.72683,-121.68025
KKZI,1.31,Barstow,CA,D,1.0,34.91414,-117.01864
KLAA,0.83,Orange,CA,B,50.0,33.92864,-117.61672
KLAC,0.57,Los Angeles,CA,B,5.0,34.06972,-118.19425
KLBS,1.33,Los Banos,CA,B,0.42,37.09744,-120.83186
KLHC,1.35,Bakersfield,CA,D,1.0,35.34969,-118.98122
KLIB,1.11,Roseville,CA,B,5.0,38.73933,-121.21494
KLIV,1.59,San Jose,CA,B,6.2,37.32967,-121.86717
KLLK,1.25,Willits,CA,B,5.0,39.39933,-123.32333
KLOA,1.24,Ridgecrest,CA,C,0.82,35.63439,-117.67172
KLOC,1.39,Turlock,CA,B,5.0,37.52994,-120.69464
KLOK,1.17,San Jose,CA,B,50.0,37.35772,-121.87244
KLSD,1.36,San Diego,CA,B,5.0,32.73033,-117.08447
